time(s)	cellId	rnti	lcid	packetSize
0.431682	2	1	4	1030
0.431722	2	1	4	1030
0.431762	2	1	4	1030
0.431802	2	1	4	1030
0.431842	2	1	4	1030
0.431882	2	1	4	1030
0.431922	2	1	4	1030
0.431962	2	1	4	1030
0.432002	2	1	4	1030
0.432042	2	1	4	1030
0.432082	2	1	4	1030
0.432122	2	1	4	1030
0.432162	2	1	4	1030
0.432202	2	1	4	1030
0.432242	2	1	4	1030
0.432282	2	1	4	1030
0.432322	2	1	4	1030
0.432362	2	1	4	1030
0.432402	2	1	4	1030
0.432442	2	1	4	1030
0.432482	2	1	4	1030
0.432522	2	1	4	1030
0.432562	2	1	4	1030
0.432602	2	1	4	1030
0.432642	2	1	4	1030
0.432682	2	1	4	1030
0.432722	2	1	4	1030
0.432762	2	1	4	1030
0.432802	2	1	4	1030
0.432842	2	1	4	1030
0.432882	2	1	4	1030
0.432922	2	1	4	1030
0.432962	2	1	4	1030
0.433002	2	1	4	1030
0.433042	2	1	4	1030
0.433082	2	1	4	1030
0.433122	2	1	4	1030
0.433162	2	1	4	1030
0.433202	2	1	4	1030
0.433242	2	1	4	1030
0.433282	2	1	4	1030
0.433322	2	1	4	1030
0.433362	2	1	4	1030
0.433402	2	1	4	1030
0.433442	2	1	4	1030
0.433482	2	1	4	1030
0.433522	2	1	4	1030
0.433562	2	1	4	1030
0.433602	2	1	4	1030
0.433642	2	1	4	1030
0.433682	2	1	4	1030
0.433722	2	1	4	1030
0.433762	2	1	4	1030
0.433802	2	1	4	1030
0.433842	2	1	4	1030
0.433882	2	1	4	1030
0.433922	2	1	4	1030
0.433962	2	1	4	1030
0.434002	2	1	4	1030
0.434042	2	1	4	1030
0.434082	2	1	4	1030
0.434122	2	1	4	1030
0.434162	2	1	4	1030
0.434202	2	1	4	1030
0.434242	2	1	4	1030
0.434282	2	1	4	1030
0.434322	2	1	4	1030
0.434362	2	1	4	1030
0.434402	2	1	4	1030
0.434442	2	1	4	1030
0.434482	2	1	4	1030
