% time(s)	cellId	bwpId	IMSI	RNTI	frame	sframe	slot	symStart	numSym	stream	harqId	ndi	rv	mcs	tbSize
0.567	1	0	1	1	56	9	0	1	12	0	12	1	0	0	8312
0.567	1	0	1	1	56	9	0	1	12	1	12	1	0	0	8312
0.568	1	0	1	1	57	0	0	1	12	0	15	0	1	0	8312
0.568	1	0	1	1	57	0	0	1	12	1	15	255	0	255	0
0.569	1	0	1	1	57	1	0	1	12	0	14	0	1	0	8312
0.569	1	0	1	1	57	1	0	1	12	1	14	255	0	255	0
0.57	1	0	1	1	57	2	0	1	12	0	13	0	1	0	8312
0.57	1	0	1	1	57	2	0	1	12	1	13	255	0	255	0
0.571	1	0	1	1	57	3	0	1	12	0	10	0	3	0	7621
0.571	1	0	1	1	57	3	0	1	12	1	10	255	0	255	0
0.572	1	0	1	1	57	4	0	1	12	0	12	0	1	0	8312
0.572	1	0	1	1	57	4	0	1	12	1	12	255	0	255	0
0.573	1	0	1	1	57	5	0	1	12	0	15	0	2	0	8312
0.573	1	0	1	1	57	5	0	1	12	1	15	255	0	255	0
0.574	1	0	1	1	57	6	0	1	12	0	14	0	2	0	8312
0.574	1	0	1	1	57	6	0	1	12	1	14	255	0	255	0
0.575	1	0	1	1	57	7	0	1	12	0	13	0	2	0	8312
0.575	1	0	1	1	57	7	0	1	12	1	13	255	0	255	0
0.576	1	0	1	1	57	8	0	1	12	0	11	1	0	0	8312
0.576	1	0	1	1	57	8	0	1	12	1	11	1	0	0	8312
0.577	1	0	1	1	57	9	0	1	12	0	12	0	2	0	8312
0.577	1	0	1	1	57	9	0	1	12	1	12	255	0	255	0
0.578	1	0	1	1	58	0	0	1	12	0	15	0	3	0	8312
0.578	1	0	1	1	58	0	0	1	12	1	15	255	0	255	0
0.579	1	0	1	1	58	1	0	1	12	0	14	0	3	0	8312
0.579	1	0	1	1	58	1	0	1	12	1	14	255	0	255	0
0.58	1	0	1	1	58	2	0	1	12	0	13	0	3	0	8312
0.58	1	0	1	1	58	2	0	1	12	1	13	255	0	255	0
0.581	1	0	1	1	58	3	0	1	12	0	11	0	1	0	8312
0.581	1	0	1	1	58	3	0	1	12	1	11	255	0	255	0
0.582	1	0	1	1	58	4	0	1	12	0	12	0	3	0	8312
0.582	1	0	1	1	58	4	0	1	12	1	12	255	0	255	0
0.583	1	0	1	1	58	5	0	1	12	0	15	1	0	0	8312
0.583	1	0	1	1	58	5	0	1	12	1	15	1	0	0	8312
0.584	1	0	1	1	58	6	0	1	12	0	14	1	0	0	8312
0.584	1	0	1	1	58	6	0	1	12	1	14	1	0	0	8312
0.585	1	0	1	1	58	7	0	1	12	0	13	1	0	0	8312
0.585	1	0	1	1	58	7	0	1	12	1	13	1	0	0	8312
